Date,Open,High,Low,Close,Adj Close,Volume
2020-10-20,6.600000,6.800000,6.500000,6.650000,6.650000,5230637
2020-10-21,6.750000,6.850000,6.650000,6.750000,6.750000,5467452
2020-10-22,6.700000,6.800000,6.650000,6.700000,6.700000,3228340
2020-10-23,6.700000,6.800000,6.700000,6.750000,6.750000,3380391
2020-10-26,6.750000,6.800000,6.550000,6.700000,6.700000,5804739
2020-10-27,6.700000,6.700000,6.600000,6.700000,6.700000,3151852
2020-10-28,6.650000,6.700000,6.550000,6.550000,6.550000,3445991
2020-10-29,6.500000,6.550000,6.400000,6.450000,6.450000,4167235
2020-10-30,6.500000,6.550000,6.450000,6.450000,6.450000,3187484
2020-11-02,6.500000,6.550000,6.350000,6.450000,6.450000,6342428
2020-11-03,6.450000,6.500000,6.400000,6.400000,6.400000,3957718
2020-11-04,6.400000,6.400000,6.350000,6.350000,6.350000,2245912
2020-11-05,6.400000,6.650000,6.400000,6.500000,6.500000,5780335
2020-11-06,6.550000,6.650000,6.500000,6.550000,6.550000,4668844
2020-11-09,6.600000,6.650000,6.450000,6.600000,6.600000,5874127
2020-11-10,6.650000,6.950000,6.500000,6.800000,6.800000,15393533
2020-11-11,6.850000,6.900000,6.700000,6.750000,6.750000,7766379
2020-11-12,6.750000,6.800000,6.600000,6.650000,6.650000,4001938
2020-11-13,6.650000,6.700000,6.550000,6.650000,6.650000,5422631
2020-11-14,null,null,null,null,null,null
2020-11-17,6.750000,6.800000,6.650000,6.650000,6.650000,6413217
2020-11-18,6.650000,7.400000,6.550000,7.250000,7.250000,46001767
2020-11-19,7.200000,7.200000,6.900000,6.950000,6.950000,17060251
2020-11-20,6.950000,7.050000,6.600000,6.800000,6.800000,22222397
2020-11-23,6.900000,7.400000,6.850000,7.300000,7.300000,32222448
2020-11-24,7.400000,7.650000,7.200000,7.550000,7.550000,28689409
2020-11-25,7.600000,7.700000,7.250000,7.300000,7.300000,18772502
2020-11-26,7.300000,7.600000,7.250000,7.550000,7.550000,16188205
2020-11-27,7.550000,7.700000,7.450000,7.550000,7.550000,19507746
2020-12-01,7.650000,8.000000,7.600000,7.900000,7.900000,25973940
2020-12-02,8.000000,8.150000,7.750000,7.900000,7.900000,20674977
2020-12-03,7.900000,9.350000,7.900000,9.200000,9.200000,119891422
2020-12-04,9.350000,9.750000,8.500000,8.950000,8.950000,70699930
2020-12-07,9.000000,9.200000,8.700000,8.950000,8.950000,23069855
2020-12-08,9.000000,9.800000,8.700000,9.550000,9.550000,95235593
2020-12-09,9.900000,10.650000,9.750000,10.350000,10.350000,127557697
2020-12-10,10.300000,10.300000,9.800000,9.950000,9.950000,36590411
2020-12-11,10.100000,10.150000,9.650000,9.800000,9.800000,21114425
2020-12-14,9.950000,10.000000,9.550000,9.600000,9.600000,14770920
2020-12-15,9.600000,9.650000,9.000000,9.200000,9.200000,20269005
2020-12-16,9.200000,9.400000,9.150000,9.200000,9.200000,10890063
2020-12-17,9.250000,9.250000,9.100000,9.100000,9.100000,8332803
2020-12-18,9.100000,9.150000,8.700000,8.950000,8.950000,11602397
2020-12-21,8.800000,9.000000,8.050000,8.150000,8.150000,22660175
2020-12-22,8.100000,8.400000,6.550000,8.300000,8.300000,35959089
2020-12-23,8.450000,9.050000,8.300000,8.950000,8.950000,26206496
2020-12-24,9.100000,9.300000,8.800000,8.950000,8.950000,16483107
2020-12-28,9.050000,9.250000,9.000000,9.050000,9.050000,14826252
2020-12-29,9.150000,9.350000,9.050000,9.200000,9.200000,17613068
2020-12-30,9.200000,9.300000,9.000000,9.050000,9.050000,11427099
2020-12-31,9.050000,9.150000,8.900000,9.000000,9.000000,9392291
2021-01-01,9.100000,9.150000,9.050000,9.100000,9.100000,7400742
2021-01-04,9.200000,9.650000,9.150000,9.500000,9.500000,51249817
2021-01-05,9.400000,9.550000,9.200000,9.350000,9.350000,25484711
2021-01-06,9.350000,9.500000,9.150000,9.300000,9.300000,23915408
2021-01-07,9.350000,9.700000,9.200000,9.350000,9.350000,30049316
2021-01-08,9.400000,9.500000,9.200000,9.200000,9.200000,20994625
